,Encoding
387,"Introduction to Environmental Engineering  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 361 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
388,"Introduction to Environmental Engineering  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 361 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
389,"Hydraulics  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 381 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
390,"Hydraulics  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 381 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
391,"Hydraulics  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 381 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
392,"Water Resources Engineering CIVI 382 = CIVI 481 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 382 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
393,"Water Resources Engineering CIVI 382 = CIVI 481 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 382 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
394,"Water Resources Engineering CIVI 382 = CIVI 481 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 382 300 Bachelor Laboratory: 2 hours per week, alternate weeks"
395,"Civil Engineering Design Project  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 390 300 Bachelor Team project, Laboratory: 2 hours per week, alternate weeks"
396,"Civil Engineering Design Project  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 390 300 Bachelor Team project, Laboratory: 2 hours per week, alternate weeks"
397,"Soil Mechanics BCEE432=BLDG432=CIVI432 or 431 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
398,"Soil Mechanics CIVI 431 = CIVI 432 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
399,"Soil Mechanics BCEE432=BLDG432=CIVI432 or 431 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
400,"Soil Mechanics CIVI 431 = CIVI 432 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
401,"Soil Mechanics BCEE432=BLDG432=CIVI432 or 431 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
402,"Soil Mechanics CIVI 431 = CIVI 432 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 432 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
403,"Design of Reinforced Concrete Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 453 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
404,"Design of Reinforced Concrete Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 453 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
405,"Design of Reinforced Concrete Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 453 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
406,"Design of Steel Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 454 400 Bachelor Design project, Laboratory: 2 hours per week, alternate weeks"
407,"Design of Steel Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 454 400 Bachelor Design project, Laboratory: 2 hours per week, alternate weeks"
408,"Design of Steel Structures  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 454 400 Bachelor Design project, Laboratory: 2 hours per week, alternate weeks"
409,"Water Pollution and Control  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 465 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
410,"Water Pollution and Control  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 465 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
411,"Geo-Environmental Engineering  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 469 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
412,"Geo-Environmental Engineering  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 469 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
413,"Hydraulic Engineering CIVI 484 = CIVI 489 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 484 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
414,"Hydraulic Engineering CIVI 484 = CIVI 489 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 484 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
415,"Hydraulic Engineering CIVI 484 = CIVI 489 GCS Building, Civil and Environmental Engineering (BCEE) CIVI 484 400 Bachelor Laboratory: 2 hours per week, alternate weeks"
416,"ADVANCED REINFORCED CONCRETE  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6001 60000 Master A project required"
417,"ADVANCED REINFORCED CONCRETE  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6001 60000 Master A project required"
418,"PRECAST+PRESTR.CONCRT.STRUC.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6011 60000 Master A project required"
419,"DURA. OF CONCRETE MATERIALS  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6021 60000 Master A project required"
420,"DURA. OF CONCRETE MATERIALS  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6021 60000 Master A project required"
421,"SEISMIC ASS. & RET. OF STRUC  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6031 60000 Master Case studies & project required"
422,"STRUCTURAL HEALTH MONITORING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6061 60000 Master Field application, A project required"
423,"PLAN.+ DESIGN OF BRIDGES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6101 60000 Master A project required"
424,"HYDRAULIC ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6331 60000 Master A case study & project required"
425,"HYDRAULIC ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6331 60000 Master A case study & project required"
426,"HYDRAULIC STRUCTURES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6381 60000 Master A project required"
427,"TRANS. SYSTEMS ANALYSIS  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6401 60000 Master A project required"
428,"TRAFFIC ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6441 60000 Master A project required"
429,"PAVEMENT DESIGN  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6451 60000 Master A project required"
430,"SUSTAINABLE MANAGEMENT OF INDUSTRIAL WASTE  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6481 60000 Master A project required"
431,"ENGG.ASPECTS/SITE REMEDIA N.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6491 60000 Master Lab demonstrations, A project required"
432,"ENGG.ASPECTS/SITE REMEDIA N.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6491 60000 Master Lab demonstrations, A project required"
433,"FOUNDATION ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6501 60000 Master A project required"
434,"SOIL BEHAVIOUR  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6521 60000 Master A project required"
435,"SOIL BEHAVIOUR  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6521 60000 Master A project required"
436,"SOIL TESTING + PROPERTIES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6531 60000 Master A project required"
437,"SOIL TESTING + PROPERTIES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6531 60000 Master A project required"
438,"MODEL./BLDG.+ENVIROM L ENGG.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6601 60000 Master A case study project"
439,"ENVIRONMENTAL ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6611 60000 Master A case study project required"
440,"ENVIRONMENTAL ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6611 60000 Master A case study project required"
441,"ENGG.ASP./BIO.TRMT/WATER+AIR  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6621 60000 Master Lab demonstration, case study project"
442,"TRANSP./HAZARD.MATS.+WASTES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6631 60000 Master A project required"
443,"UNIT OPERATIONS/ENVIRO.ENGR.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6641 60000 Master A case study project required"
444,"FATE+TRANSP./CONTAMIN./ENVT.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6671 60000 Master A project required"
445,"EARTHQUAKE ENGINEERING  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 7001 70000 Master A project required"
446,"THEO.+DESI./MOD. BRIDGE SYS.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 7111 70000 Master A project required"
447,"GROUNDWATER FLOW  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 7311 70000 Master A project required"
448,"HYDROLOGY  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6301 60000 Master A case study & project required"
449,"URBAN TRANSPORTATION PLAN.  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6411 60000 Master A project required"
450,"WATER POLLUTION+CONTROL  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6651 60000 Master A case study project required"
451,"ENVIRON. IMPACT ASSESSMENT  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6661 60000 Master Case studies project"
452,"DESIGN/INDUSTRL STRUCTURES  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6051 60000 Master A case study & project"
453,"DESIGN OF TRANSPORTATION TERMINALS  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 7401 70000 Master A project required"
454,"Pavement Management Systems  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6461 60000 Master A project required"
455,"Environmental Nanotechnology  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6681 60000 Master A project required"
456,"Greenhouse Gases and Control  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6691 60000 Master A project required"
457,"ADVANCED STEEL STRUCTURES DESIGN  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6071 60000 Master A project required"
458,"Reinforced Eartth  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6541 60000 Master A project required"
459,"Environmental Engineering Research Project  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 7901 70000 Master Research project, supervision full-time faculty member"
460,"Asset Management for Sustainable Civil Infrastructure  GCS Building, Civil and Environmental Engineering (BCEE) CIVI 6711 60000 Master A project required"
461,"Practicum in Archaeology  FAS Classics, Modern Languages and Linguistics CLAS 370 300 Bachelor At least 1 month field"
462,"Intermediate Ancient Greek I: Prose  FAS Classics, Modern Languages and Linguistics CLAS 383 300 Bachelor "
463,"Intermediate Ancient Greek II: Poetry  FAS Classics, Modern Languages and Linguistics CLAS 384 300 Bachelor "
464,"Intermediate Latin I: Prose CLAS 390 = CLAS 391 FAS Classics, Modern Languages and Linguistics CLAS 391 300 Bachelor "
465,"Intermediate Latin I: Prose  FAS Classics, Modern Languages and Linguistics CLAS 391 300 Bachelor "
466,"Intermediate Latin II: Poetry  FAS Classics, Modern Languages and Linguistics CLAS 392 300 Bachelor "
467,"Advanced Ancient Greek I: Prose  FAS Classics, Modern Languages and Linguistics CLAS 410 400 Bachelor "
468,"Advanced Ancient Greek II: Poetry  FAS Classics, Modern Languages and Linguistics CLAS 411 400 Bachelor "
469,"Advanced Ancient Greek II: Poetry  FAS Classics, Modern Languages and Linguistics CLAS 411 400 Bachelor "
470,"Advanced Latin I: Prose  FAS Classics, Modern Languages and Linguistics CLAS 420 400 Bachelor "
471,"Advanced Latin II: Poetry  FAS Classics, Modern Languages and Linguistics CLAS 421 400 Bachelor "
472,"Ancient Pottery: History, Analysis, and Interpretation  FAS Classics, Modern Languages and Linguistics CLAS 460 400 Bachelor Artifact handling, materials analysis"
473,"HONOURS THESIS  FAS Classics, Modern Languages and Linguistics CLAS 490 400 Bachelor "
474,"Advanced Seminar in Archaeology  FAS Classics, Modern Languages and Linguistics CLAS 470 400 Bachelor Artifact materials analysis"
475,Digital Systems Design I COEN 312 = COEN 212 GCS Electrical and Computer Engineering (ECE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
476,Digital Systems Design I COEN 312 = COEN 212 GCS Computer Science and Software Engineering (CSSE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
477,Digital Systems Design I COEN 312 = COEN 212 GCS Electrical and Computer Engineering (ECE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
478,Digital Systems Design I COEN 312 = COEN 212 GCS Computer Science and Software Engineering (CSSE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
479,Digital Systems Design I COEN 312 = COEN 212 GCS Electrical and Computer Engineering (ECE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
480,Digital Systems Design I COEN 312 = COEN 212 GCS Computer Science and Software Engineering (CSSE) COEN 212 200 Bachelor / Certificate Laboratory: 15 hours total
481,Computer Organization and Software  GCS Electrical and Computer Engineering (ECE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
482,Computer Organization and Software  GCS Computer Science and Software Engineering (CSSE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
483,Computer Organization and Software  GCS Electrical and Computer Engineering (ECE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
484,Computer Organization and Software  GCS Computer Science and Software Engineering (CSSE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
485,Computer Organization and Software  GCS Electrical and Computer Engineering (ECE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
486,Computer Organization and Software  GCS Computer Science and Software Engineering (CSSE) COEN 311 300 Bachelor / Certificate Laboratory: 15 hours total
487,Digital Systems Design II COEN 313 = COEN 414 GCS Electrical and Computer Engineering (ECE) COEN 313 300 Bachelor Laboratory: 15 hours total
488,Digital Systems Design II COEN 313 = COEN 414 GCS Electrical and Computer Engineering (ECE) COEN 313 300 Bachelor Laboratory: 15 hours total
489,Digital Systems Design II COEN 313 = COEN 414 GCS Electrical and Computer Engineering (ECE) COEN 313 300 Bachelor Laboratory: 15 hours total
490,Digital Electronics COEN 315 = COEN 412 GCS Electrical and Computer Engineering (ECE) COEN 315 300 Bachelor Laboratory: 15 hours total
491,Digital Electronics COEN 315 = COEN 412 GCS Electrical and Computer Engineering (ECE) COEN 315 300 Bachelor Laboratory: 15 hours total
492,Digital Electronics COEN 315 = COEN 412 GCS Electrical and Computer Engineering (ECE) COEN 315 300 Bachelor Laboratory: 15 hours total
493,Computer Architecture and Design COEN 316 = COEN 416 GCS Electrical and Computer Engineering (ECE) COEN 316 300 Bachelor Laboratory: 15 hours total
494,Computer Architecture and Design COEN 316 = COEN 416 GCS Electrical and Computer Engineering (ECE) COEN 316 300 Bachelor Laboratory: 15 hours total
495,Computer Architecture and Design COEN 316 = COEN 416 GCS Electrical and Computer Engineering (ECE) COEN 316 300 Bachelor Laboratory: 15 hours total
496,Microprocessor-Based Systems COEN 317 = COEN 417 GCS Electrical and Computer Engineering (ECE) COEN 317 300 Bachelor Laboratory: 15 hours total
497,Microprocessor-Based Systems COEN 317 = COEN 417 GCS Electrical and Computer Engineering (ECE) COEN 317 300 Bachelor Laboratory: 15 hours total
498,Microprocessor-Based Systems COEN 317 = COEN 417 GCS Electrical and Computer Engineering (ECE) COEN 317 300 Bachelor Laboratory: 15 hours total
499,Software Testing and Validation  GCS Electrical and Computer Engineering (ECE) COEN 345 300 Bachelor Laboratory: 15 hours total
500,Software Testing and Validation  GCS Electrical and Computer Engineering (ECE) COEN 345 300 Bachelor Laboratory: 15 hours total
501,Software Testing and Validation  GCS Electrical and Computer Engineering (ECE) COEN 345 300 Bachelor Laboratory: 15 hours total
502,Operating Systems  GCS Electrical and Computer Engineering (ECE) COEN 346 300 Bachelor Laboratory: 15 hours total
503,Operating Systems  GCS Electrical and Computer Engineering (ECE) COEN 346 300 Bachelor Laboratory: 15 hours total
504,Operating Systems  GCS Electrical and Computer Engineering (ECE) COEN 346 300 Bachelor Laboratory: 15 hours total
505,"COMP. ENG. PROD DESIGN PROJ.  GCS Electrical and Computer Engineering (ECE) COEN 390 300 Bachelor Team project, develop system/device, equivalent laboratory time: 6 hours per week"
506,"COMP. ENG. PROD DESIGN PROJ.  GCS Electrical and Computer Engineering (ECE) COEN 390 300 Bachelor Team project, develop system/device, equivalent laboratory time: 6 hours per week"
507,Embedded Systems Design COEN 421 = SOEN 422 GCS Electrical and Computer Engineering (ECE) COEN 421 400 Bachelor Laboratory: 30 hours total
508,Embedded Systems Design COEN 421 = SOEN 422 GCS Electrical and Computer Engineering (ECE) COEN 421 400 Bachelor Laboratory: 30 hours total
509,Communication Networks and Protocols COEN 445= ELEC 463 GCS Electrical and Computer Engineering (ECE) COEN 445 400 Bachelor Laboratory: 15 hours total
510,Communication Networks and Protocols COEN 445= ELEC 463 GCS Electrical and Computer Engineering (ECE) COEN 445 400 Bachelor Laboratory: 15 hours total
511,VLSI Circuit Design COEN 451 = ENCS 454 GCS Electrical and Computer Engineering (ECE) COEN 451 400 Bachelor Laboratory: 30 hours total
512,VLSI Circuit Design COEN 451 = ENCS 454 GCS Electrical and Computer Engineering (ECE) COEN 451 400 Bachelor Laboratory: 30 hours total
513,"Capstone Computer Engineering Design Project  GCS Electrical and Computer Engineering (ECE) COEN 490 400 Bachelor capstone, group project"
514,BIO. COMPUTING & SYN BIOLOGY  GCS Electrical and Computer Engineering (ECE) COEN 6211 60000 Master A project required
515,SOFTWARE ENGINEERING  GCS Electrical and Computer Engineering (ECE) COEN 6311 60000 Master A project required
516,MODEL DRIVEN SOFTWARE ENGR.  GCS Electrical and Computer Engineering (ECE) COEN 6312 60000 Master A project required
517,Applied Genetic and Evolutionary Systems  GCS Electrical and Computer Engineering (ECE) COEN 6321 60000 Master A project required
518,NEURAL NETWORKS  GCS Electrical and Computer Engineering (ECE) COEN 6331 60000 Master A project required
519,"DIGITAL SYS.DESIGN+SYNTHESIS  GCS Electrical and Computer Engineering (ECE) COEN 6501 60000 Master Project involving system design modelling, project required"
520,VLSI CIRCUIT DESIGN  GCS Electrical and Computer Engineering (ECE) COEN 6511 60000 Master A project required
521,DESIGN FOR TESTABILITY  GCS Electrical and Computer Engineering (ECE) COEN 6521 60000 Master A project required
522,ASIC SYNTHESIS  GCS Electrical and Computer Engineering (ECE) COEN 6531 60000 Master A project required
523,FORMAL HARDWARE VERIFICATION  GCS Electrical and Computer Engineering (ECE) COEN 6551 60000 Master A project required
524,MICROPROC.+THEIR APPLICATION  GCS Electrical and Computer Engineering (ECE) COEN 6711 60000 Master A project required
525,COMPUTER ARCHITECTURE+DESIGN  GCS Electrical and Computer Engineering (ECE) COEN 6741 60000 Master A project required
526,PROTOCOL DESIGN + VALIDATION  GCS Electrical and Computer Engineering (ECE) COEN 7311 70000 Master A project required
527,ADV. COMPUTER ARCHITECTURE  GCS Electrical and Computer Engineering (ECE) COEN 7741 70000 Master A project required
528,FCTNL. HARDWARE VERIFICATION  GCS Electrical and Computer Engineering (ECE) COEN 6541 60000 Master A project required
529,EMBEDDED SYSTEMS DESIGN  GCS Electrical and Computer Engineering (ECE) COEN 6341 60000 Master A project required
530,PROGRAMMING ON THE CLOUD  GCS Electrical and Computer Engineering (ECE) COEN 6313 60000 Master A project required
531,Strategy and Competition COMM 310 = MANA 460 JMSB Management COMM 401 400 Bachelor This capstone course requires graduating students demonstrate ability integrate knowledge skills acquired program. This course introduces major models theories strategic management.
532,"SEMINAR COURSE  JMSB Marketing COMM 499 400 Bachelor This case competition course. Instead, auspices l'Association Agences Communication Créative (A2C), every year two Quebec inter-university competitions organized conducted. The Relève Communication initiated 1992 Relève Marketing 1999. JMSB entered teams six students competitions since inception. For both, participating university teams given day-long briefing January company, not-for-profit organization government agency one communications agencies. The brief concludes mandate teams must create complete communications marketing plan client due date late April. Their recommended plans presented clients boardrooms agency's pitch rooms. The judging panels include senior executives client (often CEO), client's communications agencies A2C members. Throughout academic term competitions occur, students opportunity apply theories learned far BComm program situations close 'real life' possible academic setting."
533,BUSINESS COMMUNICATION BUSC 300 = COMM 212 = COMM 205 JMSB Management COMM 205 200 Bachelor Project proposal improve communications strategy existing business
534,Object-Oriented Programming I  GCS Computer Science and Software Engineering (CSSE) COMP 248 200 Bachelor Laboratory: 12 hours total
535,Object-Oriented Programming I  GCS Computer Science and Software Engineering (CSSE) COMP 248 200 Bachelor Laboratory: 12 hours total
536,Object-Oriented Programming I  GCS Computer Science and Software Engineering (CSSE) COMP 248 200 Bachelor Laboratory: 12 hours total
537,Object-Oriented Programming II COEN 241 = COEN 244 GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
538,Object-Oriented Programming II  GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
539,Object-Oriented Programming II COEN 241 = COEN 244 GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
540,Object-Oriented Programming II  GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
541,Object-Oriented Programming II COEN 241 = COEN 244 GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
542,Object-Oriented Programming II  GCS Computer Science and Software Engineering (CSSE) COMP 249 200 Bachelor Laboratory: 12 hours total
543,"ADVANCED PROGRAM DESIGN, C++  GCS Computer Science and Software Engineering (CSSE) COMP 345 300 Bachelor Laboratory: 24 hours total, group project"
544,"ADVANCED PROGRAM DESIGN, C++  GCS Computer Science and Software Engineering (CSSE) COMP 345 300 Bachelor Laboratory: 24 hours total, group project"
545,Operating Systems  GCS Computer Science and Software Engineering (CSSE) COMP 346 300 Bachelor Laboratory: 24 hours total
546,Operating Systems  GCS Computer Science and Software Engineering (CSSE) COMP 346 300 Bachelor Laboratory: 24 hours total
547,Operating Systems  GCS Computer Science and Software Engineering (CSSE) COMP 346 300 Bachelor Laboratory: 24 hours total
548,Operating Systems  GCS Computer Science and Software Engineering (CSSE) COMP 346 300 Bachelor Laboratory: 24 hours total
549,"Databases  GCS Computer Science and Software Engineering (CSSE) COMP 353 300 Bachelor Laboratory: 24 hours total, group project"
550,"Databases  GCS Computer Science and Software Engineering (CSSE) COMP 353 300 Bachelor Laboratory: 24 hours total, group project"
551,"Databases  GCS Computer Science and Software Engineering (CSSE) COMP 353 300 Bachelor Laboratory: 24 hours total, group project"
552,"Introduction to Software Engineering COEN 431 = COMP 354 GCS Computer Science and Software Engineering (CSSE) COMP 354 300 Bachelor Laboratory: 24 hours total, group project"
553,"Introduction to Software Engineering COEN 431 = COMP 354 GCS Computer Science and Software Engineering (CSSE) COMP 354 300 Bachelor Laboratory: 24 hours total, group project"
554,"Introduction to Software Engineering COEN 431 = COMP 354 GCS Computer Science and Software Engineering (CSSE) COMP 354 300 Bachelor Laboratory: 24 hours total, group project"
555,"Computer Graphics COMP 371 = COMP 471 GCS Computer Science and Software Engineering (CSSE) COMP 371 300 Bachelor Laboratory: 24 hours total, group project"
556,"Computer Graphics COMP 371 = COMP 471 GCS Computer Science and Software Engineering (CSSE) COMP 371 300 Bachelor Laboratory: 24 hours total, group project"
557,"Introduction to Game Development CART 315 = CART 398 = COMP 376 GCS Computer Science and Software Engineering (CSSE) COMP 376 300 Bachelor Laboratory: 24 hours total, group project"
558,"Introduction to Game Development CART 315 = CART 398 = COMP 376 GCS Computer Science and Software Engineering (CSSE) COMP 376 300 Bachelor Laboratory: 24 hours total, group project"
559,"Multicore Programming  GCS Computer Science and Software Engineering (CSSE) COMP 426 400 Bachelor Laboratory: 24 hours total, group project"
560,"Multicore Programming  GCS Computer Science and Software Engineering (CSSE) COMP 426 400 Bachelor Laboratory: 24 hours total, group project"
561,"Parallel Programming  GCS Computer Science and Software Engineering (CSSE) COMP 428 400 Bachelor Laboratory: 24 hours total, group project"
562,"Parallel Programming  GCS Computer Science and Software Engineering (CSSE) COMP 428 400 Bachelor Laboratory: 24 hours total, group project"
563,"Parallel Programming  GCS Computer Science and Software Engineering (CSSE) COMP 428 400 Bachelor Laboratory: 24 hours total, group project"
564,"Compiler Design  GCS Computer Science and Software Engineering (CSSE) COMP 442 400 Bachelor Laboratory: 24 hours total, project"
565,"Compiler Design  GCS Computer Science and Software Engineering (CSSE) COMP 442 400 Bachelor Laboratory: 24 hours total, project"
566,Data Communication and Computer Networks  GCS Computer Science and Software Engineering (CSSE) COMP 445 400 Bachelor Laboratory: 24 hours total
567,Data Communication and Computer Networks  GCS Computer Science and Software Engineering (CSSE) COMP 445 400 Bachelor Laboratory: 24 hours total
568,DATABASE DESIGN  GCS Computer Science and Software Engineering (CSSE) COMP 451 400 Bachelor Laboratory: 24 hours total
569,DATABASE DESIGN  GCS Computer Science and Software Engineering (CSSE) COMP 451 400 Bachelor Laboratory: 24 hours total
570,"Artificial Intelligence  GCS Computer Science and Software Engineering (CSSE) COMP 472 400 Bachelor Laboratory: 24 hours total, project"
571,"Artificial Intelligence  GCS Computer Science and Software Engineering (CSSE) COMP 472 400 Bachelor Laboratory: 24 hours total, project"
572,"Pattern Recognition  GCS Computer Science and Software Engineering (CSSE) COMP 473 400 Bachelor Laboratory: 24 hours total, project"
573,"Pattern Recognition  GCS Computer Science and Software Engineering (CSSE) COMP 473 400 Bachelor Laboratory: 24 hours total, project"
574,"Intelligent Systems  GCS Computer Science and Software Engineering (CSSE) COMP 474 400 Bachelor Laboratory: 24 hours total, project"
575,"Intelligent Systems  GCS Computer Science and Software Engineering (CSSE) COMP 474 400 Bachelor Laboratory: 24 hours total, project"
576,"Advanced Game Development  GCS Computer Science and Software Engineering (CSSE) COMP 476 400 Bachelor Laboratory: 24 hours total, group project"
577,"Advanced Game Development  GCS Computer Science and Software Engineering (CSSE) COMP 476 400 Bachelor Laboratory: 24 hours total, group project"
578,"Animation for Computer Games  GCS Computer Science and Software Engineering (CSSE) COMP 477 400 Bachelor Laboratory: 24 hours total, project"
579,"Animation for Computer Games  GCS Computer Science and Software Engineering (CSSE) COMP 477 400 Bachelor Laboratory: 24 hours total, project"
580,"Image Processing  GCS Computer Science and Software Engineering (CSSE) COMP 478 400 Bachelor Laboratory: 24 hours total, project"
581,"Image Processing  GCS Computer Science and Software Engineering (CSSE) COMP 478 400 Bachelor Laboratory: 24 hours total, project"
582,"Information Retrieval and Web Search  GCS Computer Science and Software Engineering (CSSE) COMP 479 400 Bachelor Laboratory: 24 hours total, project"
583,"Information Retrieval and Web Search  GCS Computer Science and Software Engineering (CSSE) COMP 479 400 Bachelor Laboratory: 24 hours total, project"
584,Computer Science Project I  GCS Computer Science and Software Engineering (CSSE) COMP 490 400 Bachelor capstone project
585,Computer Science Project II  GCS Computer Science and Software Engineering (CSSE) COMP 492 400 Bachelor capstone project
586,"COMP. ORGANIZ N+ASSEMB.LANG.  GCS Computer Science and Software Engineering (CSSE) COMP 5201 50000 Master / PhD Laboratory: 24 hours total, project"
587,"COMP. ORGANIZ N+ASSEMB.LANG.  GCS Computer Science and Software Engineering (CSSE) COMP 5201 50000 Master / PhD Laboratory: 24 hours total, project"
588,DISCRETE STR.+FORMAL LANG.  GCS Computer Science and Software Engineering (CSSE) COMP 5361 50000 Certificate Laboratory: 24 hours total
589,DISCRETE STR.+FORMAL LANG.  GCS Computer Science and Software Engineering (CSSE) COMP 5361 50000 Certificate Laboratory: 24 hours total
590,DISCRETE STR.+FORMAL LANG.  GCS Computer Science and Software Engineering (CSSE) COMP 5361 50000 Certificate Laboratory: 24 hours total
591,OPERATING SYSTEMS  GCS Computer Science and Software Engineering (CSSE) COMP 5461 50000 Master / PhD / Certificate Laboratory: 24 hours total
